implementation,dataset,processes,px,py,pz,iteration,nx,ny,nz,timesteps,read_time,main_time,total_time,wall_time
coll_IO_der,../data/data_64_64_96_7.bin,64,4,4,4,0,64,64,96,7,1.5138,0.0018,1.5147,6.921200039
coll_IO_der,../data/data_64_64_96_7.bin,64,4,4,4,1,64,64,96,7,1.5128,0.0008,1.5136,6.897947327
coll_IO_der,../data/data_64_64_96_7.bin,64,4,4,4,2,64,64,96,7,1.4803,0.0008,1.4811,6.825493472
coll_IO_der,../data/data_64_64_96_7.bin,64,4,4,4,3,64,64,96,7,1.5279,0.0008,1.5287,6.875830606
coll_IO_der,../data/data_64_64_96_7.bin,64,4,4,4,4,64,64,96,7,1.5442,0.0008,1.5450,6.924513737
send,../data/data_64_64_96_7.bin,64,4,4,4,0,64,64,96,7,1.3135,1.2074,1.3149,6.826369880
send,../data/data_64_64_96_7.bin,64,4,4,4,1,64,64,96,7,1.3475,1.3102,1.3486,6.856980150
send,../data/data_64_64_96_7.bin,64,4,4,4,2,64,64,96,7,1.3346,1.3243,1.3361,6.805832896
send,../data/data_64_64_96_7.bin,64,4,4,4,3,64,64,96,7,1.3373,1.2542,1.3386,6.836734374
send,../data/data_64_64_96_7.bin,64,4,4,4,4,64,64,96,7,1.3322,1.3185,1.3339,6.863896055
ind_IO,../data/data_64_64_96_7.bin,64,4,4,4,0,64,64,96,7,1.5504,0.0008,1.5512,6.900725380
ind_IO,../data/data_64_64_96_7.bin,64,4,4,4,1,64,64,96,7,1.5107,0.0008,1.5114,6.871062292
ind_IO,../data/data_64_64_96_7.bin,64,4,4,4,2,64,64,96,7,1.5655,0.0008,1.5663,6.874607137
ind_IO,../data/data_64_64_96_7.bin,64,4,4,4,3,64,64,96,7,1.5359,0.0008,1.5367,6.897305611
ind_IO,../data/data_64_64_96_7.bin,64,4,4,4,4,64,64,96,7,1.5045,0.0008,1.5053,6.886644533
ind_IO_der,../data/data_64_64_96_7.bin,64,4,4,4,0,64,64,96,7,1.4779,0.0008,1.4787,6.871390659
ind_IO_der,../data/data_64_64_96_7.bin,64,4,4,4,1,64,64,96,7,1.4873,0.0008,1.4882,6.851480808
ind_IO_der,../data/data_64_64_96_7.bin,64,4,4,4,2,64,64,96,7,1.5043,0.0008,1.5051,6.826700255
ind_IO_der,../data/data_64_64_96_7.bin,64,4,4,4,3,64,64,96,7,1.5002,0.0008,1.5010,6.844568570
ind_IO_der,../data/data_64_64_96_7.bin,64,4,4,4,4,64,64,96,7,1.3575,0.0017,1.3583,6.684331225
isend,../data/data_64_64_96_7.bin,64,4,4,4,0,64,64,96,7,1.3396,1.2985,1.3407,6.793335164
isend,../data/data_64_64_96_7.bin,64,4,4,4,1,64,64,96,7,1.3215,1.2464,1.3228,6.833936277
isend,../data/data_64_64_96_7.bin,64,4,4,4,2,64,64,96,7,1.3267,1.3133,1.3283,6.803020199
isend,../data/data_64_64_96_7.bin,64,4,4,4,3,64,64,96,7,1.3402,1.2432,1.3419,6.853472829
isend,../data/data_64_64_96_7.bin,64,4,4,4,4,64,64,96,7,1.2951,1.1866,1.2966,6.703308336
